StoreKey,label,search_key,store_code,country,state,status,source_view,confidence,note
350,Contoso Store Zeeland,contoso store zeeland,35,NL,Zeeland,Closed,dim_contoso_store,I,
360,Contoso Store Armagh,contoso store armagh,36,GB,Armagh,,dim_contoso_store,I,
370,Contoso Store Ayrshire,contoso store ayrshire,37,GB,Ayrshire,,dim_contoso_store,I,
380,Contoso Store Belfast,contoso store belfast,38,GB,Belfast,,dim_contoso_store,I,
390,Contoso Store Blaenau Gwent,contoso store blaenau gwent,39,GB,Blaenau Gwent,,dim_contoso_store,I,
400,Contoso Store Dungannon and South Tyrone,contoso store dungannon and south tyrone,40,GB,Dungannon and South Tyrone,,dim_contoso_store,I,
410,Contoso Store Fermanagh,contoso store fermanagh,41,GB,Fermanagh,Closed,dim_contoso_store,I,
420,Contoso Store North Down,contoso store north down,42,GB,North Down,,dim_contoso_store,I,
430,Contoso Store Alaska,contoso store alaska,43,US,Alaska,,dim_contoso_store,I,
440,Contoso Store Arkansas,contoso store arkansas,44,US,Arkansas,,dim_contoso_store,I,
450,Contoso Store Connecticut,contoso store connecticut,45,US,Connecticut,,dim_contoso_store,I,
460,Contoso Store Delaware,contoso store delaware,46,US,Delaware,Restructured,dim_contoso_store,I,
465,Contoso Store Delaware,contoso store delaware,46,US,Delaware,Closed,dim_contoso_store,I,
470,Contoso Store Hawaii,contoso store hawaii,47,US,Hawaii,,dim_contoso_store,I,
480,Contoso Store Idaho,contoso store idaho,48,US,Idaho,,dim_contoso_store,I,
490,Contoso Store Iowa,contoso store iowa,49,US,Iowa,,dim_contoso_store,I,
500,Contoso Store Kansas,contoso store kansas,50,US,Kansas,,dim_contoso_store,I,
510,Contoso Store Maine,contoso store maine,51,US,Maine,,dim_contoso_store,I,
520,Contoso Store Mississippi,contoso store mississippi,52,US,Mississippi,Closed,dim_contoso_store,I,
530,Contoso Store Montana,contoso store montana,53,US,Montana,,dim_contoso_store,I,
540,Contoso Store Nebraska,contoso store nebraska,54,US,Nebraska,,dim_contoso_store,I,
550,Contoso Store Nevada,contoso store nevada,55,US,Nevada,,dim_contoso_store,I,
560,Contoso Store New Hampshire,contoso store new hampshire,56,US,New Hampshire,,dim_contoso_store,I,
570,Contoso Store New Mexico,contoso store new mexico,57,US,New Mexico,,dim_contoso_store,I,
580,Contoso Store North Dakota,contoso store north dakota,58,US,North Dakota,Restructured,dim_contoso_store,I,
585,Contoso Store North Dakota,contoso store north dakota,58,US,North Dakota,,dim_contoso_store,I,
590,Contoso Store Oregon,contoso store oregon,59,US,Oregon,,dim_contoso_store,I,
600,Contoso Store Rhode Island,contoso store rhode island,60,US,Rhode Island,Restructured,dim_contoso_store,I,
605,Contoso Store Rhode Island,contoso store rhode island,60,US,Rhode Island,,dim_contoso_store,I,
610,Contoso Store South Carolina,contoso store south carolina,61,US,South Carolina,,dim_contoso_store,I,
620,Contoso Store South Dakota,contoso store south dakota,62,US,South Dakota,,dim_contoso_store,I,
630,Contoso Store Utah,contoso store utah,63,US,Utah,,dim_contoso_store,I,
650,Contoso Store Washington DC,contoso store washington dc,65,US,Washington DC,,dim_contoso_store,I,
660,Contoso Store West Virginia,contoso store west virginia,66,US,West Virginia,,dim_contoso_store,I,
670,Contoso Store Wyoming,contoso store wyoming,67,US,Wyoming,,dim_contoso_store,I,
999999,Online store,online store,-1,--,Online,,dim_contoso_store,I,
